"ITEMCODE","LOCATIONKEY","QUANTITYONHAND","QUANTITYBACKORDERED","QUANTITYRESERVED","QUANTITYINTRANSIT","BINLOCATION"
"100-519A","02","75","0","0","0","CC"
"100-519A","03","0","0","0","0",""
"100-519A-10","02","1","0","0","0","RP"
"100-519A-10","03","0","0","0","0",""
"100-519B","01","0","0","0","0",""
"100-519B","02","0","0","0","0",""
"100-519B","03","0","0","0","0",""
"100-520-100","00","0","0","0","0",""
"100-520-100","01","0","0","0","0","CC"
"100-520-100","02","1","0","0","0","CX"
"100-520-100","03","0","0","0","0",""
"100-520-5","00","0","0","0","0",""
"100-520-5","01","0","0","0","0","CC"
"100-520-5","02","5","0","0","0","CC"
"100-520-5","03","0","0","0","0",""
"100-522","00","0","0","0","0",""
"100-522","01","0","0","0","0","CC"
"100-522","02","8","0","0","0","CC"
"100-522","03","0","0","0","0",""
"100-524","00","0","0","0","0",""
"100-524","01","0","0","0","0","CC"
"100-524","02","80","0","51","0","CC"
"100-524","03","0","0","0","0",""
"100-524IV","01","0","0","0","0",""
"100-524IV","02","0","0","0","0",""
"100-524IV","03","0","0","0","0",""
"100-525","01","0","0","0","0",""
"100-525","02","0","0","0","0",""
"100-525","03","0","0","0","0",""
"100-526","00","0","0","0","0",""
"100-526","01","0","0","0","0","CX"
"100-526","02","16","0","0","0","CX"
"100-526","03","0","0","0","0",""
"100-528","01","0","0","0","0","RP"
"100-528","02","0","0","0","0",""
"100-528","03","0","0","0","0",""
"100-530BK","01","0","0","0","0","CC"
"100-530BK","02","0","0","0","0",""
"100-530BK","03","0","0","0","0",""
"100-530RD","01","0","0","0","0","CC"
"100-530RD","02","13","0","0","0","CC"
"100-530RD","03","0","0","0","0",""
"100-530WH","01","0","0","0","0","CC"
"100-530WH","02","0","0","0","0",""
"100-530WH","03","0","0","0","0",""
"100-530YW","01","0","0","0","0","CC"
"100-530YW","02","21","0","0","0","CX"
"100-530YW","03","0","0","0","0",""
"100-540BK","01","0","0","0","0","CC"
"100-540BK","02","12","0","0","0","CC"
"100-540BK","03","0","0","0","0",""
"100-540RD","01","0","0","0","0","CC"
"100-540RD","02","21","0","0","0","CC"
"100-540RD","03","0","0","0","0",""
"100-550","00","0","0","0","0",""
